id,Date,Year,Date_Comment,Lenght,Country_Comment
658,2018-04-24,2018.0,Date ok,10,Check
659,2018-04-23,2018.0,Date ok,10,Check
660,2018-04-22,2018.0,Date ok,10,Check
661,2018-04-19,2018.0,Date ok,10,Check
662,2018-04-15,2018.0,Date ok,10,Check
663,2018-04-15,2018.0,Date ok,10,Check
664,2018-04-15,2018.0,Date ok,10,Check
665,2018-04-15,2018.0,Date ok,10,Check
666,2018-04-14,2018.0,Date ok,10,Check
668,2018-04-09,2018.0,Date ok,10,Check
669,2018-04-05,2018.0,Date ok,10,Check
670,2018-04-03,2018.0,Date ok,10,Check
671,2018-03-31,2018.0,Date ok,10,Check
672,2018-03-14,2018.0,Date ok,10,Check
675,2018-02-24,2018.0,Date ok,10,Check
676,2018-02-23,2018.0,Date ok,10,Check
677,2018-02-18,2018.0,Date ok,10,Check
678,2018-02-15,2018.0,Date ok,10,Check
679,2018-02-14,2018.0,Date ok,10,Check
680,2018-02-11,2018.0,Date ok,10,Check
681,2018-02-03,2018.0,Date ok,10,Check
682,2018-02-01,2018.0,Date ok,10,Check
683,2018-01-28,2018.0,Date ok,10,Check
684,2018-01-21,2018.0,Date ok,10,Check
686,2018-01-14,2018.0,Date ok,10,Check
687,2018-01-13,2018.0,Date ok,10,Check
688,2018-01-12,2018.0,Date ok,10,Check
689,2018-01-05,2018.0,Date ok,10,Check
690,2017-12-31,2017.0,Date ok,10,Check
691,2017-12-30,2017.0,Date ok,10,Check
692,2017-12-21,2017.0,Date ok,10,Check
693,2017-12-09,2017.0,Date ok,10,Check
694,2017-11-30,2017.0,Date ok,10,Check
695,2017-11-30,2017.0,Date ok,10,Check
697,2017-11-24,2017.0,Date ok,10,Check
698,2017-11-18,2017.0,Date ok,10,Check
700,2017-11-13,2017.0,Date ok,10,Check
701,2017-11-04,2017.0,Date ok,10,Check
702,2017-11-02,2017.0,Date ok,10,Check
704,2017-10-28,2017.0,Date ok,10,Check
705,2017-10-26,2017.0,Date ok,10,Check
706,2017-10-23,2017.0,Date ok,10,Check
707,2017-10-23,2017.0,Date ok,10,Check
708,2017-10-23,2017.0,Date ok,10,Check
709,2017-10-22,2017.0,Date ok,10,Check
710,2017-10-21,2017.0,Date ok,10,Check
711,2017-10-18,2017.0,Date ok,10,Check
712,2017-10-09,2017.0,Date ok,10,Check
